Glengarry,9810,168.379665,-46.401526
Arrowtown,9302,168.836021,-44.945512
Ormiston,2016,174.910414,-36.98518
Taipa,420,173.461485,-34.993314
Springvale,4501,175.029624,-39.920452
Kaiapoi,7630,172.643,-43.378049
Ravensbourne,9022,170.548768,-45.865796
Taradale,4112,176.853282,-39.543579
Shelly Park,2014,174.949657,-36.905037
Glendene,602,174.654874,-36.89509
Halswell,8025,172.555997,-43.574093
Blockhouse Bay,600,174.696603,-36.916037
Leamington,3432,175.483954,-37.897432
Onekawa,4110,176.887801,-39.513181
Berhampore,6023,174.775717,-41.314467
Dannevirke,4930,176.091706,-40.19785
Newtown,6021,174.775717,-41.314467
Petone,5012,174.886185,-41.228988
Queenstown,9300,168.667662,-45.034873
Woodville,4920,175.855691,-40.332434
Murrays Bay,630,174.737981,-36.731742
Kaikoura,7300,173.680542,-42.401723
Clendon Park,2103,174.861177,-37.025524
Conifer Grove,2112,174.905916,-37.049432
Levin,5510,175.269907,-40.617774
Mt Roskill,1041,174.739759,-36.899439
Greenhithe,632,174.682745,-36.765898
Ruby Bay,7005,173.079276,-41.221858
Brighton,8061,170.327568,-45.948584
Waikawa,7220,174.026552,-41.276664
Gulf Harbour,930,174.788908,-36.608571
Crofton Downs,6035,174.760616,-41.260162
Porirua,5022,174.841318,-41.138363
Half Moon Bay,2012,174.902487,-36.882675
Waikanae Beach,5036,175.036443,-40.853343
Shirley,8061,172.663075,-43.497334
Henderson,612,174.641587,-36.879954
Awapuni,4412,175.594729,-40.376252
Onehunga,1061,174.780717,-36.910931
Dannemora,2013,174.905128,-36.947116
Cockle Bay,2014,174.944393,-36.904067
Marfell,4310,174.049647,-39.074229
Upper Hutt Central,5018,175.065849,-41.124452
Randwick Park,2105,174.911905,-37.024584
Elgin,4010,177.98604,-38.660957
Beach Haven,626,174.686076,-36.795334
Wiri,2104,174.84883,-37.000024
Ranui,612,174.607646,-36.863392
Gore,9710,168.935792,-46.097779
North East Valley,9010,170.535164,-45.844469
Birchville,5018,175.099169,-41.09182
Mairangi Bay,630,174.748312,-36.744294
Redvale,932,174.677362,-36.617748
Marlborough,629,174.72644,-36.788096
Renwick,7204,173.828288,-41.513131
Melling,5010,174.89519,-41.211831
Kenmure,9011,170.472081,-45.888522
Tinwald,7700,171.722679,-43.921388
Dunedin North,9016,170.518492,-45.864097
Khandallah,6035,174.791906,-41.245879
Te Awamutu,3800,175.336918,-38.005514
Te Kuiti,3910,175.18157,-38.342334
Ngaruawahia,3720,175.154262,-37.664127
Ahuriri,4110,176.902107,-39.480142
Omarama,9412,169.969218,-44.492222
Strathmore Park,6022,174.817779,-41.336102
Marton,4710,175.381475,-40.077115
St Johns Hill,4501,175.029047,-39.916412
Merivale,8014,172.61725,-43.51325
Nawton,3200,175.232357,-37.772226
Tairua,3508,175.841482,-37.005534
Lawrence,9532,169.683639,-45.914174
Wallacetown,9816,168.283265,-46.338507
Paeroa,3600,175.681767,-37.375371
Mangere,2022,174.776988,-36.975168
Fernside,7400,172.573819,-43.294322
Havelock North,4130,176.877,-39.696383
Harewood,8051,172.580941,-43.480868
Epuni,5011,174.93834,-41.199384
Beerescourt,3200,175.266914,-37.771818
Waitara,4320,174.241618,-38.990683
Weston,9401,170.919324,-45.035323
Waiake,630,174.738402,-36.707061
Takanini,2112,174.952234,-37.032304
Plimmerton,5026,174.863422,-41.060963
Hokitika,7810,170.980685,-42.715631
Stewart Island,9818,168.112114,-46.896709
Wanganui Airport,4501,175.032568,-39.959704
Whenuapai,618,174.617963,-36.793596
Winton,9720,168.321763,-46.13467
Kaitangata,9210,169.847879,-46.27327
Mornington,9011,170.483074,-45.88355
Allenton,7700,171.757334,-43.902432
Bulls,4818,175.379167,-40.175215
Thorndon,6011,174.778822,-41.276998
Parakai,830,174.430863,-36.661022
Highbury,4412,175.583608,-40.366202
Port Chalmers,9023,170.618603,-45.816383
Saint Kilda,9012,170.505078,-45.903032
Akaroa,7520,172.958835,-43.814397
Parnell,1052,174.778824,-36.853653
Korokoro,5012,174.871037,-41.212487
Hataitai,6021,174.803986,-41.300959
Elsdon,5022,174.833961,-41.121804
New Lynn,600,174.684767,-36.92073
Stokes Valley,5019,174.985968,-41.180339
Tawhero,4501,175.015997,-39.932808
Mt Eden,1024,174.752072,-36.870072
Port Nelson,7010,173.282443,-41.260722
Akina,4122,176.840873,-39.649737
Hamilton East,3216,175.29973,-37.800579
Northcote,627,174.753163,-36.795432
Totara Park,5018,175.089417,-41.108676
Masterton,5810,175.647656,-40.933813
Redwoodtown,7201,173.963349,-41.527923
Gate Pa,3112,176.126012,-37.724434
Mangawhai Heads,505,174.589273,-36.089024
Belmont,622,174.792649,-36.808624
Clouston Park,5018,175.113554,-41.119563
Morrinsville,3300,175.525779,-37.654562
Onerahi,110,174.36894,-35.749374
Lansdowne,5810,175.678402,-40.945052
Panmure,1072,174.864692,-36.895338
Riverton Rocks,9822,168.019083,-46.368237
Mt Albert,1025,174.714885,-36.897522
Oamaru Central,9400,170.95742,-45.102002
Waiheke Island,1081,174.98864,-36.775934
Roslyn,4414,175.616046,-40.347028
Greenmeadows,4112,176.871529,-39.524428
Witherlea,7201,173.9534,-41.537628
Karori,6012,174.731478,-41.280095
Owhata,3010,176.291449,-38.141884
Lynfield,1042,174.715534,-36.927061
Whalers Gate,4310,174.044805,-39.083728
Athenree,3611,175.96393,-37.435668
Maraetai,2018,175.036888,-36.880545
The Wood,7010,173.292912,-41.269612
Mt Victoria,6011,174.785023,-41.299209
Glenfield,629,174.700823,-36.755293
Ponsonby,1011,174.735114,-36.848059
Kingswell,9812,168.36523,-46.43766
Patea,4520,174.468712,-39.753534
Riverton North,9822,168.023109,-46.340113
Whitby,5024,174.903235,-41.113452
Red Beach,932,174.693558,-36.606513
Massey,614,174.612195,-36.846954
Northland,6012,174.758538,-41.277939
Sydenham,8023,172.641305,-43.54815
Gladstone,9810,168.358871,-46.390959
Ostend,1081,175.045012,-36.80196
Clyde,9330,169.332899,-45.194078
Kelston,602,174.66732,-36.896382
Manukau,2025,174.878395,-36.980901
Stepheyville,7010,173.266936,-41.267921
Warkworth,910,174.652616,-36.395966
Clive,4102,176.937164,-39.589969
Coromandel,3506,175.50437,-36.754273
Eketahuna,4900,175.708359,-40.648037
Greymouth,7805,171.209655,-42.449585
Hastings Central,4122,176.855083,-39.642886
Island Bay,6023,174.77772,-41.338931
Kawakawa,210,174.065889,-35.383441
Opotiki,3122,177.287123,-37.997675
Otahuhu,1062,174.851309,-36.939036
Pahiatua,4910,175.838794,-40.451171
Papakura,2110,174.948602,-37.071206
Rangiora,7400,172.597178,-43.302223
Reefton,7830,171.857331,-42.122241
Riverhead,820,174.594868,-36.757709
Seaview,7910,171.244783,-44.391446
Tuatapere,9620,167.686258,-46.135559
Whangarei Central,110,174.32211,-35.728395
Hillsborough,8022,172.658261,-43.566983
St Martins,8022,172.658261,-43.566983
Glen Avon,4312,174.110638,-39.056118
Acacia Bay,3330,176.034214,-38.700254
Point Chevalier,1022,174.70668,-36.869398
Mataura,9712,168.859096,-46.196133
Napier South,4110,176.918777,-39.49193
Shiel Hill,9013,170.538985,-45.891901
Richmond,7020,173.194984,-41.334791
Fairlie,7925,170.852572,-44.158996
The Gardens,2105,174.901884,-36.998615
Oamaru North,9400,170.979533,-45.08659
Huntly,3700,175.159342,-37.561755
Newlands,6037,174.828918,-41.225036
Otautau,9610,167.998389,-46.142151
Mangere East,2024,174.832973,-36.955944
Papamoa Beach,3118,176.254417,-37.688437
Casebrook,8051,172.611896,-43.472018
Hillsborough,1042,174.745953,-36.930752
Aranui,8061,172.696581,-43.511049
Richmond,8013,172.662079,-43.515957
Opaheke,2113,174.944237,-37.08262
Stoke,7011,173.224084,-41.310447
Clover Park,2023,174.890849,-36.977853
Inner Kati,4010,178.043479,-38.676039
Phillipstown,8062,172.668965,-43.537938
Eden Terrace,1010,174.761066,-36.860787
Kelvin Heights,9300,168.71655,-45.028936
Otorohanga,3900,175.212396,-38.179376
Newfield,9812,168.388627,-46.417398
Otara,2023,174.875194,-36.955939
Putaruru,3411,175.77134,-38.049787
Otaki,5512,175.14495,-40.755229
Algies Bay,920,174.742281,-36.435906
Raumati Beach,5032,174.982876,-40.912316
Trentham Military Camp,5018,175.051013,-41.140482
Trentham,5018,175.051013,-41.140482
Katikati,3129,175.92684,-37.555473
Mangonui,420,173.525826,-34.989563
Tauranga South,3112,176.159512,-37.708321
Waikanae Park,5036,175.03895,-40.871121
Wanganui Central,4500,175.046403,-39.918541
Southbridge,7602,172.235514,-43.801928
Tuakau,2121,174.949039,-37.282126
Raetihi,4632,175.278754,-39.436144
Roseneath,6011,174.789738,-41.302457
Hamilton Central,3204,175.283131,-37.789422
Parkside,7910,171.255098,-44.403206
Temuka,7920,171.290091,-44.243385
Tekapo,7999,170.482452,-44.006944
Bridge Hill,9320,169.335202,-45.29872
Somerville,2014,174.940018,-36.912068
North Huntingdon,3210,175.286929,-37.728806
Methven,7730,171.643023,-43.629619
Waterview,1026,174.698647,-36.877833
Fairfield,9018,170.396683,-45.904057
Blenheim Central,7201,173.953253,-41.510818
Caversham,9012,170.485487,-45.897264
Fairfield,3214,175.288045,-37.771507
Hikurangi,114,174.286842,-35.600915
Mayfield,7201,173.953253,-41.510818
Mt Cook,6021,174.780078,-41.301819
Nelson South,7010,173.272868,-41.28337
Westshore,4110,176.881609,-39.477193
Wairere,2016,174.928212,-37.01795
Manurewa East,2102,174.928212,-37.01795
Sockburn,8042,172.5595,-43.533544
Orewa,931,174.692695,-36.583096
Hillcrest,627,174.734302,-36.787671
Alicetown,5010,174.89416,-41.21545
Outer Kaiti,4010,178.055677,-38.67659
Ellerslie,1061,174.802015,-36.905182
One Tree Hill,1061,174.802015,-36.905182
Herald Island,618,174.659259,-36.778494
Takapuna,622,174.77552,-36.783531
Belleknowes,9011,170.484422,-45.874252
Oneroa,1081,175.029271,-36.794827
Hamilton Lake,3204,175.271481,-37.805517
Frankton,9300,168.730401,-45.023246
Glenholme,3010,176.242648,-38.145972
Waikari,7420,172.680692,-42.967313
Waimate,7924,171.030512,-44.726329
Portobello,9014,170.676034,-45.856466
Edgeware,8013,172.644282,-43.51222
Kaitaia,410,173.264311,-35.103914
Pirimai,4112,176.884345,-39.519338
Grey Lynn,1021,174.733064,-36.859392
Ngapuna,3010,176.277848,-38.145723
Waldronville,9018,170.417382,-45.91329
Frankton,3204,175.257257,-37.793624
Liberton,9010,170.516404,-45.848035
Matamata,3400,175.767092,-37.813982
Bader,3206,175.289781,-37.806492
Wellington Central,6011,174.77301,-41.288619
Lincoln,7608,172.487467,-43.64788
Torbay,630,174.729935,-36.695213
St Leonards,4120,176.834254,-39.631541
Brown Owl,5018,175.097702,-41.100673
Ebdentown,5018,175.076699,-41.116787
Waikuku Beach,7402,172.705504,-43.286191
Bethlehem,3110,176.114967,-37.696212
Marybank,7010,173.326388,-41.224121
Shirley,8013,172.655129,-43.507006
Durie Hill,4500,175.062083,-39.9351
Opunake,4616,173.857007,-39.45238
Strowan,8014,172.614472,-43.512281
Cashmere,8022,172.639927,-43.581602
Avondale,8061,172.685622,-43.503038
Marshland,8083,172.685182,-43.483276
Kohimarama,1071,174.845558,-36.859977
Milford,620,174.75688,-36.774628
Newmarket,1023,174.778156,-36.864908
Te Atatu South,610,174.640456,-36.870009
Wyndham,9831,168.845822,-46.327539
Feilding,4702,175.561865,-40.21039
Bexley,8061,172.720041,-43.516479
Ascot Park,5024,174.872535,-41.115682
Hoon Hay,8025,172.589429,-43.564492
Marewa,4110,176.896019,-39.498403
Coastlands,3120,176.976117,-37.936546
Strowan,8052,172.607246,-43.508664
